Título,Autores
NOVAS RELAÇÕES SOBRE VULNERABILIDADE DE REDES,"Carla Silva Oliveira, Nair Maria Maia de Abreu"
ALGORITMOS RANDÔMICOS PARA A GERAÇÃO DE ORIENTAÇÕES ACÍCLICAS EM SISTEMAS DISTRIBUÍDOS,"Gladstone M. Arantes Jr, Felipe M. G. França, Carlos A. Martinhon"
METODOLOGIA PARA O CÁLCULO DA COMPLEXIDADE DE ALGORITMOS E O PROCESSO DE AVALIAÇÃO DAS EQUAÇÕES DE COMPLEXIDADE,"Marco Antonio de Castro Barbosa, Laira Vieira Toscani, Leila Ribeiro"
RELIABILITY MAXIMIZATION FOR NETWORKS WITH PATH-LENGTH CONSTRAINTS,"Pablo Burgos, Héctor Cancela, Alfredo Godoy, Louis Petingi"
A UTILIZAÇÃO DA FERRAMENTA ANAC PARA O CÁLCULO AUTOMÁTICO DE COMPLEXIDADE DE ALGORITMOS,"Marco Antonio de Castro Barbosa, Laira Vieira Toscani, Leila Ribeiro"
USO DE TRAÇADO AUTOMÁTICO NA VISUALIZAÇÃO DE REDES,"Wagner Arbex, Lílian Markenzon"
APLICAÇÃO DO ALGORITMO DE DIJKSTRA PARA OTIMIZAÇÃO DE ROTAS NA UNIVERSIDADE DO VALE DO RIO DOS SINOS,"Leandro Toss Hoffmann, Antonio Gabriel Rodrigues, Ari Stopassola Junior, Arthur Tórgo Gómez"
PROJETO E MODELAGEM ORIENTADA A OBJETOS PARA O SISTEMA SISGRAFO,"Augusto Wagner de Castro Palhano, Marcos José Negreiros Gomes"
ALGORITMO EXATO PARA O NÚMERO CROMÁTICO HARMONIOSO,Milène Maria Drumond Pimenta
THE MINIMIZATION OF TOOL SWITCHES PROBLEM AS A NETWORK FLOW PROBLEM WITH SIDE CONSTRAINTS,"Horacio Hideki Yanasse, Maria José Pinto"
PARAMETROS ESPECTRAIS EM GRAFOS PONTUALMENTE DENSOS,"Carla Silva Oliveira, Nair Maria Maia de Abreu"
GERAGRAFO: UM SISTEMA PARA GERAÇÃO MANUAL E AUTOMÁTICA DE GRAFOS,"Fábio Rimola da Cruz Mano, Lilian Markenzon, Oswaldo Vernet"
GERAÇÃO DE EXTENSÕES SEMIORDENS E INTERVALARES DE UMA ORDENAÇÃO PARCIAL,"Aquiles Braga de Queiroz, Jayme Luiz Szwarcfiter"
Algoritmo para determinar o Dual Geométrico Fraco em Grafos Periplanares Biconexos,"Iuri Locatelli Vieira, Claudia Marcela Justel"
GRAFOS CORDAIS E ÁRVORES DE ELIMINAÇÃO,"Maximiliano Pinto Damas, Claudia Marcela Justel"
COMPACTAÇÃO DE DADOS COM DETEÇÃO DE ERROS,"Paulo E. D. Pinto, Fábio Protti, Jayme L. Szwarcfiter"
UMA REPRESENTAÇÃO PARA PARES-MODULARES DE UM GRAFO,"Sulamita Klein, Noemi C. dos Santos, Jayme L. Szwarcfiter"
On H-partition problems,"Simone Dantas, Celina M. H. de Figueiredo, Sylvain Gravier, Sulamita Klein"
"EXTENSÃO-(0,) e-(1,) DE GRAFOS CORDAIS","Pavol Hell, Sulamita Klein, Loana T. Nogueira, Fábio Protti"
"INVARIANTES DE GRAFOS EM CLASSES (a,b)-LINEARES","Carla Silva Oliveira, Nair Maria Maia de Abreu"
GRAFOS MAXIMALMENTE NÃO REGULARES,Paulo Oswaldo Boaventura Netto
ADAPTAÇÃO DE UM ALGORITMO DE CAMINHO MÍNIMO EM GRAFOS COM CUSTOS NOS ARCOS E RESTRIÇÕES DE TEMPO FUZZY,"Fábio Hernandes, Marcia Tomie Takahashi"
ALOCAÇÃO DE DOCENTES A DISCIPLINAS EM UM DEPARTAMENTO: UMA APLICAÇÃO DO PROBLEMA DO B-ACOPLAMENTO,"Paulo Jorge Magalhães Teixeira, Valdir Agustinho de Melo, Paulo Oswaldo Boaventura Netto"
SOBRE A GERAÇÃO ALEATÓRIA DE GRAFOS NÃO-ORIENTADOS,"Oswaldo Vernet, Lilian Markenzon, Newton Paciornik"
METODOLOGIA ORIENTADA A OBJETOS PARA VISUALIZAÇÃO RÁPIDA DE GRAFOS NÃO-DIRIGIDOS A PARTIR DA LISTA DE ARESTAS,"Alexandre de Assis Mota, Lia Toledo Moreira Mota, André Luiz Morelato França"
METODOLOGIA ORIENTADA A OBJETOS PARA CONSTRUÇÃO AUTOMÁTICA DE GRAFOS CPM/PERT,"Alexandre de Assis Mota, Lia Toledo Moreira Mota, André Luiz Morelato França"
UM ESTUDO SOBRE O PROBLEMA DA ÁRVORE GERADORA MÍNIMA COM ESTRUTURA DO GRAFO FUZZY,"Márcia Tomie Takahashi, Akebo Yakamami"
CARACTERIZAÇÃO DO CONJUNTO EQUILIBRADOR PARA GRAFOS COM GAP NULO,"Maximiliano Pinto Damas, Lilian Markenzon, Nair Maria Maia de Abreu"
USO DA SIMILARIDADE ENTRE CAMINHOS PARA O PROBLEMA DE CAMINHO MÍNIMO COM PARAMETROS FUZZY,"Fábio Hernandes, Akebo Yamakami, Marcia Tomie Takahashi"
CÓDIGO REDUZIDO DE PRÜFER PARA K-ÁRVORES ROTULADAS,"Paulo Renato da Costa Pereira, Lilian Markenzon, Oswaldo Vernet"
DETERMINAÇÃO DE VERTEX SEPARATION PARA ÁRVORES BINÁRIAS CHEIAS,"S. K. Kawasaki, C. M. Justel"
"OBSTRUÇÕES DE COGRAFOS-(K, L)","Raquel de Souza Francisco, Sulamita Klein, Loana T. Nogueira"
UMA REPRESENTAÇÃO PARA PARES-MODULARES DE GRAFOS P4- REDUTÍVEIS,"Sulamita Klein, Noemi C. dos Santos, Jayme L. Szwarcfiter"
CICLOS MINIMAIS EM GRAFOS DE KNESER,Samuel Jurkiewicz
