Ano,Total de publicações,"Total de publicações no eixo temático ""Teoria dos Grafos e Algoritmos Relacionados""","Porcentagem de publicações no eixo temático ""Teoria dos Grafos e Algoritmos Relacionados"""
2002,195,10,"5,13%"
2003,226,9,"3,98%"
2004,206,8,"3,88%"
2005,222,8,"3,60%"
2006,211,5,"2,37%"
2007,237,11,"4,64%"
2008,242,11,"4,55%"
2009,275,10,"3,64%"
2010,266,12,"4,51%"
2011,327,12,"3,67%"
2012,377,15,"3,98%"
2013,362,14,"3,87%"
2014,382,9,"2,36%"
2015,302,9,"2,98%"
2016,284,13,"4,58%"
2017,301,11,"3,65%"
2018,391,20,"5,12%"
2019,392,9,"2,30%"
2020,390,15,"3,85%"
2021,298,9,"3,02%"
2022,374,9,"2,41%"
2023,453,20,"4,42%"
2024,598,14,"2,34%"
2025,573,13,"2,27%"
Total,2.407,276,"11,47%"
